epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.276,1.25593,2.58923,1.55847,0.00517,0.96875,0.25826,0.11962,1.45144,3.0318,1.70421,8e-05,8e-05,8e-05
2,21.0341,1.17361,2.25177,1.50764,0.00533,1,0.42606,0.21348,1.37371,3.02183,1.68713,0.000176436,0.000176436,0.000176436
3,30.3263,1.14586,1.73808,1.48177,0.00533,1,0.38719,0.18399,1.36366,2.94816,1.70328,0.000268912,0.000268912,0.000268912
4,39.534,1.13697,1.60995,1.47004,0.00533,1,0.42878,0.20846,1.38563,2.90516,1.73079,0.000357428,0.000357428,0.000357428
5,48.7656,1.10453,1.45846,1.4369,0.00783,1,0.41245,0.2181,1.45304,2.83256,1.83343,0.000441984,0.000441984,0.000441984
6,58.123,1.0193,1.39021,1.34051,0.52151,0.61327,0.44845,0.19612,1.55637,2.73297,1.95047,0.00052258,0.00052258,0.00052258
7,67.1217,0.97939,1.27352,1.28892,0.48053,0.49162,0.44271,0.22499,1.4632,2.69231,1.8911,0.000599216,0.000599216,0.000599216
8,76.5749,1.09371,1.34043,1.4005,0.38291,0.3125,0.31859,0.12149,1.77365,3.00714,2.40713,0.000671892,0.000671892,0.000671892
9,85.6312,1.05949,1.31061,1.38288,0.51361,0.40625,0.47057,0.22378,1.58164,2.6829,1.97754,0.000740608,0.000740608,0.000740608
10,94.7594,1.13962,1.27451,1.39882,0.45595,0.52395,0.37086,0.1265,1.78813,2.85465,2.22882,0.000805364,0.000805364,0.000805364
11,103.971,1.12351,1.28779,1.4075,0.68441,0.4375,0.48455,0.20529,1.83895,2.74459,2.39458,0.00086616,0.00086616,0.00086616
12,113.059,1.08293,1.25862,1.37339,0.72342,0.4375,0.4259,0.19021,2.05358,2.73099,2.78329,0.000922996,0.000922996,0.000922996
13,122.461,1.12692,1.28235,1.43022,0.4816,0.4375,0.37145,0.16895,1.97812,2.68903,2.69394,0.000975872,0.000975872,0.000975872
14,132.19,1.0751,1.22575,1.36482,0.62693,0.3679,0.35167,0.15992,1.78267,2.78958,2.46796,0.00102479,0.00102479,0.00102479
15,141.682,1.02214,1.1879,1.35259,0.54806,0.28125,0.28273,0.11996,2.00267,2.91776,2.72859,0.00106974,0.00106974,0.00106974
16,150.53,0.97952,1.1087,1.29938,0.53488,0.28125,0.2659,0.10102,2.14108,3.20299,2.88851,0.00111074,0.00111074,0.00111074
17,160.56,1.00075,1.06352,1.27444,0.43063,0.34375,0.21473,0.08705,2.07723,3.24281,2.80398,0.00114778,0.00114778,0.00114778
18,170.577,1.00688,1.15173,1.33311,0.48001,0.375,0.27264,0.08784,2.10865,3.24959,2.82552,0.00118085,0.00118085,0.00118085
19,180.076,0.98374,1.18088,1.3694,0.51973,0.28125,0.30829,0.13252,2.15899,3.11133,2.84369,0.00120997,0.00120997,0.00120997
20,189.56,0.96484,1.09472,1.27897,0.41129,0.34948,0.27567,0.091,2.15446,2.73404,2.88554,0.00123512,0.00123512,0.00123512
21,198.571,0.99716,1.05921,1.27031,0.38045,0.375,0.21239,0.06499,2.34655,2.77253,3.04096,0.001208,0.001208,0.001208
22,207.913,0.98358,1.08353,1.32257,0.45821,0.4375,0.25703,0.08605,2.29087,2.719,2.9556,0.0011684,0.0011684,0.0011684
23,217.25,0.97644,0.99458,1.30044,0.40927,0.4375,0.30796,0.10537,2.15483,2.84195,2.71486,0.0011288,0.0011288,0.0011288
24,226.827,0.93757,0.97545,1.27688,0.53986,0.4375,0.42643,0.16827,1.9481,2.52696,2.3647,0.0010892,0.0010892,0.0010892
25,236.896,0.91311,0.93556,1.25626,0.61719,0.40625,0.41444,0.13593,2.13544,2.58201,2.53401,0.0010496,0.0010496,0.0010496
26,247.519,0.9953,0.94248,1.34927,0.54495,0.44935,0.36479,0.1157,2.11908,2.70099,2.53857,0.00101,0.00101,0.00101
27,257.702,0.92408,0.84864,1.23143,0.35243,0.4375,0.28408,0.09426,2.14807,2.69903,2.54897,0.0009704,0.0009704,0.0009704
28,268.055,0.85882,0.85875,1.21129,0.33268,0.4375,0.24404,0.1103,1.90408,2.70161,2.39285,0.0009308,0.0009308,0.0009308
29,277.709,0.90334,0.91,1.26392,0.76841,0.46875,0.42923,0.20574,1.81935,2.35096,2.35858,0.0008912,0.0008912,0.0008912
30,287.172,0.8561,0.83812,1.22449,0.69185,0.40625,0.36758,0.20018,1.97931,2.34814,2.55089,0.0008516,0.0008516,0.0008516
31,296.288,0.83955,0.86231,1.19851,0.50723,0.46875,0.37967,0.17599,2.04037,2.39104,2.63906,0.000812,0.000812,0.000812
32,305.423,0.80027,0.80644,1.1634,0.652,0.52707,0.42691,0.15951,1.93127,2.22884,2.46738,0.0007724,0.0007724,0.0007724
33,315.155,0.80401,0.75807,1.15233,0.63605,0.54643,0.50679,0.20091,1.83979,2.20442,2.26707,0.0007328,0.0007328,0.0007328
34,324.005,0.8113,0.7878,1.20421,0.62021,0.5,0.47177,0.21399,1.9794,2.1433,2.36949,0.0006932,0.0006932,0.0006932
35,332.968,0.81987,0.79342,1.18791,0.61173,0.54184,0.5509,0.2154,1.98492,2.14683,2.4216,0.0006536,0.0006536,0.0006536
36,342.126,0.67667,0.72036,1.12755,0.62822,0.375,0.42391,0.20949,1.97156,2.32105,2.45476,0.000614,0.000614,0.000614
